t,n,phi,pmiss,convergence,true.R,true.effect,true.mu,true.phi,"bias.mean Cov[1,1]","bias.mean Cov[2,1]","bias.mean Cov[3,1]","bias.mean Cov[1,2]","bias.mean Cov[2,2]","bias.mean Cov[3,2]","bias.mean Cov[1,3]","bias.mean Cov[2,3]","bias.mean Cov[3,3]",bias.mean R,bias.mean mu.D,bias.mean beta1,bias.mean beta2,bias.mean effect,bias.mean mu.M,bias.mean phi,bias.mean r1,bias.mean r2,bias.mean sigma2,"bias.median Cov[1,1]","bias.median Cov[2,1]","bias.median Cov[3,1]","bias.median Cov[1,2]","bias.median Cov[2,2]","bias.median Cov[3,2]","bias.median Cov[1,3]","bias.median Cov[2,3]","bias.median Cov[3,3]",bias.median R,bias.median mu.D,bias.median beta1,bias.median beta2,bias.median effect,bias.median mu.M,bias.median phi,bias.median r1,bias.median r2,bias.median sigma2,"bias.mode Cov[1,1]","bias.mode Cov[2,1]","bias.mode Cov[3,1]","bias.mode Cov[1,2]","bias.mode Cov[2,2]","bias.mode Cov[3,2]","bias.mode Cov[1,3]","bias.mode Cov[2,3]","bias.mode Cov[3,3]",bias.mode R,bias.mode mu.D,bias.mode beta1,bias.mode beta2,bias.mode effect,bias.mode mu.M,bias.mode phi,bias.mode r1,bias.mode r2,bias.mode sigma2,"cover.qbp Cov[1,1]","cover.qbp Cov[2,1]","cover.qbp Cov[3,1]","cover.qbp Cov[1,2]","cover.qbp Cov[2,2]","cover.qbp Cov[3,2]","cover.qbp Cov[1,3]","cover.qbp Cov[2,3]","cover.qbp Cov[3,3]",cover.qbp R,cover.qbp mu.D,cover.qbp beta1,cover.qbp beta2,cover.qbp effect,cover.qbp mu.M,cover.qbp phi,cover.qbp r1,cover.qbp r2,cover.qbp sigma2," cover.hpd Cov[1,1]"," cover.hpd Cov[2,1]"," cover.hpd Cov[3,1]"," cover.hpd Cov[1,2]"," cover.hpd Cov[2,2]"," cover.hpd Cov[3,2]"," cover.hpd Cov[1,3]"," cover.hpd Cov[2,3]"," cover.hpd Cov[3,3]", cover.hpd R, cover.hpd mu.D, cover.hpd beta1, cover.hpd beta2, cover.hpd effect, cover.hpd mu.M, cover.hpd phi, cover.hpd r1, cover.hpd r2, cover.hpd sigma2,ci.R,ci.effect,ci.mu.M,ci.phi,"rmse.mean Cov[1,1]","rmse.mean Cov[2,1]","rmse.mean Cov[3,1]","rmse.mean Cov[1,2]","rmse.mean Cov[2,2]","rmse.mean Cov[3,2]","rmse.mean Cov[1,3]","rmse.mean Cov[2,3]","rmse.mean Cov[3,3]",rmse.mean R,rmse.mean mu.D,rmse.mean beta1,rmse.mean beta2,rmse.mean effect,rmse.mean mu.M,rmse.mean phi,rmse.mean r1,rmse.mean r2,rmse.mean sigma2,"rmse.median Cov[1,1]","rmse.median Cov[2,1]","rmse.median Cov[3,1]","rmse.median Cov[1,2]","rmse.median Cov[2,2]","rmse.median Cov[3,2]","rmse.median Cov[1,3]","rmse.median Cov[2,3]","rmse.median Cov[3,3]",rmse.median R,rmse.median mu.D,rmse.median beta1,rmse.median beta2,rmse.median effect,rmse.median mu.M,rmse.median phi,rmse.median r1,rmse.median r2,rmse.median sigma2,"rmse.mode Cov[1,1]","rmse.mode Cov[2,1]","rmse.mode Cov[3,1]","rmse.mode Cov[1,2]","rmse.mode Cov[2,2]","rmse.mode Cov[3,2]","rmse.mode Cov[1,3]","rmse.mode Cov[2,3]","rmse.mode Cov[3,3]",rmse.mode R,rmse.mode mu.D,rmse.mode beta1,rmse.mode beta2,rmse.mode effect,rmse.mode mu.M,rmse.mode phi,rmse.mode r1,rmse.mode r2,rmse.mode sigma2
17,100,1.570796327,0.1,1,1.048872696,0.180490101,-0.40010412,1.627954547,0.019719372,-0.003293943,-0.135495316,-0.003293943,0.572513259,-0.253890214,-0.135495316,-0.253890214,0.601220939,0.008889435,-0.004958672,0.001983618,1.77E-05,-0.003116911,-0.005463271,-0.002698789,6.29578E+12,-0.000444286,-0.010705836,0.005634231,-0.028891194,-0.143698743,-0.028891194,0.537322583,-0.274941776,-0.143698743,-0.274941776,0.564797974,0.008920812,-0.004202271,0.002490455,-0.000141311,-0.003087769,-0.005389302,-0.002681485,7.04E+12,-0.00040125,-0.011774407,-0.018960989,-0.05647451,-0.168599613,-0.05647451,0.474316041,-0.311399072,-0.168599613,-0.311399072,0.499882394,0.008977769,-0.004982227,0.003996239,-0.001744298,-0.002752968,-0.005492574,-0.00270965,1.23206E+13,-0.00012752,-0.013531228,0.95505618,0.974157303,0.979775281,0.974157303,0.495505618,0.985393258,0.979775281,0.985393258,0.468539326,0.84494382,0.942696629,0.962921348,0.973033708,0.868539326,0.320224719,0.78988764,0.971910112,0.97752809,0.948314607,0.975280899,0.987640449,0.996629213,0.987640449,0.751685393,0.994382022,0.996629213,0.994382022,0.720224719,0.896629213,0.962921348,0.982022472,0.993258427,0.908988764,0.361797753,0.843820225,0.988764045,0.993258427,0.969662921,0.96741573,0.968539326,0.939325843,0.958426966,0.119096385,0.029678705,0.029269634,0.029678705,0.030712121,0.009727016,0.029269634,0.009727016,0.032361719,0.033419251,0.094071113,0.034057925,0.033132909,0.031328179,0.094087597,0.040233509,0.03231842,0.032646665,0.016678613,0.116633203,0.029074829,0.028662255,0.029074829,0.029014587,0.009781486,0.028662255,0.009781486,0.030603803,0.033432274,0.094055448,0.034053192,0.03314051,0.031335362,0.09409216,0.040239257,0.032294101,0.032648986,0.016798106,0.115349426,0.02805993,0.027785699,0.02805993,0.026049942,0.009969633,0.027785699,0.009969633,0.02757277,0.033589505,0.09474263,0.034222778,0.033610515,0.031553704,0.094191763,0.040291115,0.032362773,0.032980295,0.017098801
33,100,1.570796327,0.1,1,1.048771139,0.180494897,-0.399186872,1.627960218,0.026835574,0.090658996,0.091576526,0.090658996,0.40502161,-0.159093167,0.091576526,-0.159093167,0.41704545,0.004698343,0.008148209,0.004427998,-0.00211779,-0.003392153,0.00844395,-0.000823535,-1.28676E+13,-0.000304939,-0.002115026,0.012901474,0.064806359,0.062905011,0.064806359,0.37859319,-0.17931761,0.062905011,-0.17931761,0.390518207,0.00471142,0.008045186,0.004776627,-0.001999283,-0.003320226,0.008629335,-0.00081851,-1.22666E+13,-0.000269683,-0.002721311,-0.011220971,0.016759248,0.008641666,0.016759248,0.329934602,-0.216736411,0.008641666,-0.216736411,0.342166066,0.004784586,-0.000628563,0.005947928,-0.003697189,-0.002996485,0.008923602,-0.000857726,-8.47786E+12,0.000157025,-0.002792624,0.93875,0.97,0.9625,0.97,0.63625,0.97125,0.9625,0.97125,0.615,0.7575,0.945,0.965,0.97375,0.75375,0.24,0.63625,0.97125,0.97625,0.94375,0.9625,0.99,0.98875,0.99,0.8275,0.99125,0.98875,0.99125,0.82625,0.82375,0.97125,0.98,0.98625,0.82125,0.27375,0.68875,0.98875,0.98375,0.96625,0.96375,0.96625,0.9425,0.95875,0.122878936,0.026132034,0.025998994,0.026132034,0.022452022,0.008032848,0.025998994,0.008032848,0.022972602,0.028374559,0.093059982,0.029435016,0.02979555,0.02838473,0.093066023,0.038329753,0.028665453,0.028643384,0.011719255,0.119884019,0.025596166,0.025456392,0.025596166,0.021199851,0.008059464,0.025456392,0.008059464,0.021715242,0.02837591,0.093066278,0.029436709,0.029793834,0.028387512,0.093064732,0.03833762,0.028657224,0.028644629,0.011736958,0.117454876,0.024661096,0.024614976,0.024661096,0.01892169,0.008178241,0.024614976,0.008178241,0.019505646,0.028454708,0.093268515,0.029342964,0.029878432,0.028514559,0.093030022,0.038427719,0.028733131,0.028858878,0.011800959
65,100,1.570796327,0.1,1,1.04889562,0.180580724,-0.399929469,1.627903022,0.012567076,-0.186283209,-0.147856769,-0.186283209,0.315460864,-0.072371633,-0.147856769,-0.072371633,0.320168856,0.00117116,0.011687719,0.000386221,-0.008323262,-0.004873403,0.011219634,-0.000885127,-1.6906E+13,-0.001252373,-0.000638222,-0.001436629,-0.205348695,-0.171777403,-0.205348695,0.294083586,-0.092589785,-0.171777403,-0.092589785,0.299437097,0.001174631,0.011416854,0.00083489,-0.008697228,-0.004845634,0.011369364,-0.000891843,-1.84803E+13,-0.001273294,-0.000843702,-0.027729387,-0.22386065,-0.209682665,-0.22386065,0.256254302,-0.124995378,-0.209682665,-0.124995378,0.265052486,0.001140298,0.006344882,0.002727033,-0.01178467,-0.004705442,0.011469308,-0.000923025,-2.69843E+13,-0.001053267,0.000214705,0.943333333,0.983333333,0.956666667,0.983333333,0.703333333,0.976666667,0.956666667,0.976666667,0.676666667,0.643333333,0.966666667,0.98,0.966666667,0.663333333,0.183333333,0.56,0.976666667,0.976666667,0.96,0.976666667,0.996666667,0.98,0.996666667,0.886666667,0.99,0.98,0.99,0.82,0.706666667,0.98,0.99,0.97,0.7,0.2,0.61,0.993333333,0.993333333,0.986666667,0.976666667,0.956666667,0.96,0.966666667,0.116060628,0.023883624,0.024911524,0.023883624,0.017944457,0.006952613,0.024911524,0.006952613,0.018388539,0.025286687,0.086646602,0.024412636,0.026458184,0.025397243,0.08662273,0.033552705,0.024364875,0.025584475,0.007655681,0.114128353,0.023414837,0.024434656,0.023414837,0.016951826,0.006923444,0.024434656,0.006923444,0.01743161,0.025290028,0.086651279,0.024423526,0.026460444,0.025387808,0.086628907,0.033547394,0.024361623,0.025580634,0.007657828,0.113298275,0.022472577,0.023740132,0.022472577,0.015238619,0.006938012,0.023740132,0.006938012,0.015953795,0.025290755,0.086799105,0.024855541,0.026410068,0.025290346,0.086649776,0.03358982,0.024511294,0.025666306,0.007658608
17,200,1.570796327,0.1,1,1.048872696,0.180490101,-0.40010412,1.627954547,0.007709992,0.104952304,-0.077295458,0.104952304,0.333957549,-0.200715517,-0.077295458,-0.200715517,0.344852805,0.006908774,-0.002423594,-0.000708422,0.00214947,0.002882715,-0.001785476,-0.002688893,2.09165E+13,0.001487744,-0.008208597,0.000763687,0.09074892,-0.078866369,0.09074892,0.317545171,-0.21192044,-0.078866369,-0.21192044,0.328686038,0.006883527,-0.001849289,-0.000729802,0.002686591,0.003011365,-0.001749437,-0.002679653,2.11001E+13,0.001414359,-0.008837849,-0.012990081,0.064786164,-0.084039444,0.064786164,0.287193163,-0.233758472,-0.084039444,-0.233758472,0.298613985,0.006881834,-0.000391987,0.000111454,0.0045957,0.003271487,-0.001633349,-0.002697968,2.38164E+13,0.001289609,-0.010480387,0.95959596,0.960606061,0.967676768,0.960606061,0.671717172,0.956565657,0.967676768,0.956565657,0.667676768,0.843434343,0.946464646,0.943434343,0.967676768,0.86969697,0.315151515,0.762626263,0.956565657,0.963636364,0.944444444,0.978787879,0.983838384,0.987878788,0.983838384,0.819191919,0.976767677,0.987878788,0.976767677,0.834343434,0.895959596,0.96969697,0.975757576,0.987878788,0.907070707,0.360606061,0.827272727,0.971717172,0.985858586,0.96969697,0.957575758,0.967676768,0.945454545,0.957575758,0.082085809,0.020272798,0.020965005,0.020272798,0.018779979,0.007445964,0.020965005,0.007445964,0.019312817,0.023566468,0.064209102,0.024185537,0.023216741,0.021749048,0.064202553,0.028931236,0.023731646,0.023197791,0.012044019,0.081312473,0.020049012,0.020757451,0.020049012,0.018026714,0.007507138,0.020757451,0.007507138,0.018566226,0.023558213,0.064204065,0.024185665,0.023211928,0.021757995,0.064198713,0.028939796,0.02373658,0.023193436,0.012119743,0.081085229,0.019762076,0.020480354,0.019762076,0.016678493,0.007652951,0.020480354,0.007652951,0.017253027,0.023753619,0.06442529,0.024166527,0.023248153,0.021935225,0.064158674,0.029033518,0.023929104,0.023410687,0.012392057
33,200,1.570796327,0.1,1,1.048771139,0.180494897,-0.399186872,1.627960218,0.013698215,0.080422339,0.097109427,0.080422339,0.210929679,-0.116206929,0.097109427,-0.116206929,0.220689715,0.001601207,0.004899697,-0.002165443,-0.003959511,-0.005271182,0.006079786,-0.000285654,-1.89194E+13,-0.001073963,-0.001280217,0.006826474,0.069042994,0.091149117,0.069042994,0.199024142,-0.12670478,0.091149117,-0.12670478,0.208907474,0.001596172,0.004849286,-0.002212486,-0.003280659,-0.005158565,0.006185915,-0.000292836,-1.87032E+13,-0.00111867,-0.001694205,-0.007264582,0.049008955,0.092594481,0.049008955,0.175210501,-0.145024939,0.092594481,-0.145024939,0.185453613,0.001683772,-0.001984907,-0.001672054,-0.001502991,-0.004697875,0.006398,-0.000272685,-1.82183E+13,-0.001367296,-0.003340796,0.954385965,0.966666667,0.963157895,0.966666667,0.778947368,0.949122807,0.963157895,0.949122807,0.792982456,0.78245614,0.945614035,0.961403509,0.959649123,0.742105263,0.236842105,0.656140351,0.957894737,0.964912281,0.956140351,0.973684211,0.989473684,0.99122807,0.989473684,0.88245614,0.973684211,0.99122807,0.973684211,0.9,0.847368421,0.966666667,0.987719298,0.985964912,0.81754386,0.277192982,0.710526316,0.98245614,0.984210526,0.971929825,0.957894737,0.952631579,0.942105263,0.957894737,0.08097616,0.018029895,0.017664241,0.018029895,0.012839951,0.005948863,0.017664241,0.005948863,0.012994771,0.019834277,0.065701972,0.019691077,0.02016007,0.020286787,0.065719001,0.026079839,0.020903389,0.020168189,0.007795414,0.079878008,0.0178531,0.017491811,0.0178531,0.012323152,0.005984354,0.017491811,0.005984354,0.012474662,0.019833458,0.065730188,0.019686946,0.020156005,0.020285946,0.065717496,0.026080269,0.020907791,0.020173868,0.007805423,0.078220351,0.017707612,0.017264362,0.017707612,0.011330334,0.006108127,0.017264362,0.006108127,0.011504439,0.01991418,0.065963076,0.019694484,0.020195857,0.020306223,0.065671427,0.026104637,0.020995634,0.020286511,0.007925239
65,200,1.570796327,0.1,1,1.04889562,0.180580724,-0.399929469,1.627903022,0.006468175,0.020597069,0.021538605,0.020597069,0.16123172,-0.055053146,0.021538605,-0.055053146,0.164792369,0.001686196,-0.00153935,-0.00099231,-0.004390627,-0.005198829,-0.000573562,-0.000231173,-8.04154E+12,0.000853462,-0.000217089,-0.000252503,0.007882867,0.017069854,0.007882867,0.151251169,-0.06593106,0.017069854,-0.06593106,0.154759073,0.001691812,-0.001829562,-0.000992433,-0.003931377,-0.005186662,-0.000500081,-0.000238346,-7.78728E+12,0.000847942,-0.000427632,-0.014063403,-0.020965083,0.021951172,-0.020965083,0.132552391,-0.085071952,0.021951172,-0.085071952,0.135493144,0.001725215,-0.013468011,-0.00023742,-0.004034607,-0.005375958,-0.000353127,-0.000234051,-8.06219E+11,0.000572486,-0.001289869,0.957746479,0.956338028,0.96056338,0.956338028,0.814084507,0.981690141,0.96056338,0.981690141,0.804225352,0.66056338,0.963380282,0.95915493,0.95915493,0.652112676,0.187323944,0.504225352,0.967605634,0.967605634,0.947887324,0.98028169,0.977464789,0.98028169,0.977464789,0.922535211,0.987323944,0.98028169,0.987323944,0.905633803,0.732394366,0.983098592,0.978873239,0.978873239,0.711267606,0.215492958,0.577464789,0.987323944,0.981690141,0.977464789,0.946478873,0.954929577,0.961971831,0.949295775,0.079796083,0.016328005,0.015957603,0.016328005,0.01001294,0.004600693,0.015957603,0.004600693,0.010431695,0.017894645,0.059485278,0.017832969,0.018684332,0.018618426,0.059478817,0.025460357,0.017807012,0.017680062,0.005479757,0.079114913,0.01616795,0.01579788,0.01616795,0.009589308,0.004613654,0.01579788,0.004613654,0.010012541,0.017893531,0.059456532,0.017833331,0.018685534,0.018618447,0.059480598,0.025458697,0.017798561,0.017682685,0.005479347,0.078748308,0.016062333,0.01549515,0.016062333,0.008821707,0.004673384,0.01549515,0.004673384,0.009252711,0.017903187,0.059972174,0.017810572,0.018770404,0.018621802,0.059496476,0.025436286,0.017879608,0.01789539,0.005511807
17,500,1.570796327,0.1,1,1.048872696,0.180490101,-0.40010412,1.627954547,0.003912907,0.029402871,-0.084796014,0.029402871,0.155174484,-0.127835623,-0.084796014,-0.127835623,0.163362692,0.003170835,0.000638875,-0.001385197,-1.99E-05,0.000138058,0.001460547,-0.00137787,1.61906E+12,0.000555696,-0.005228698,0.001408163,0.0261258,-0.083854384,0.0261258,0.149086624,-0.131844614,-0.083854384,-0.131844614,0.157054086,0.003154269,0.000336256,-0.001258545,-0.000336737,6.26E-05,0.001457811,-0.001373765,2.06514E+12,0.000529776,-0.005438056,-0.002684857,0.024960131,-0.076226392,0.024960131,0.137216524,-0.138743323,-0.076226392,-0.138743323,0.144390171,0.003164282,-0.002461351,-0.000794848,-0.001514332,-0.000431033,0.001475149,-0.001360927,4.83517E+12,0.000459411,-0.005943483,0.936363636,0.955555556,0.953535354,0.955555556,0.788888889,0.943434343,0.953535354,0.943434343,0.807070707,0.835353535,0.957575758,0.945454545,0.957575758,0.847474747,0.298989899,0.75959596,0.953535354,0.95959596,0.937373737,0.967676768,0.980808081,0.97979798,0.980808081,0.883838384,0.96969697,0.97979798,0.96969697,0.886868687,0.88989899,0.977777778,0.976767677,0.980808081,0.890909091,0.343434343,0.822222222,0.978787879,0.97979798,0.962626263,0.950505051,0.948484848,0.954545455,0.961616162,0.053650274,0.012858141,0.013097404,0.012858141,0.009700691,0.00494559,0.013097404,0.00494559,0.010122752,0.015168835,0.040276932,0.015140386,0.014858504,0.014261309,0.040281831,0.01841866,0.014732921,0.015152908,0.007557134,0.053437806,0.012811296,0.013041917,0.012811296,0.009453646,0.004972786,0.013041917,0.004972786,0.009860524,0.01516195,0.04027553,0.015133566,0.014856418,0.014264989,0.040284356,0.018417274,0.01473975,0.015153603,0.007583,0.053435435,0.012830886,0.013021183,0.012830886,0.009031502,0.005041487,0.013021183,0.005041487,0.009371438,0.0151675,0.040397212,0.01509963,0.014903728,0.014371185,0.040314266,0.018507836,0.014787978,0.015288832,0.007739127
33,500,1.570796327,0.1,1,1.048771139,0.180494897,-0.399186872,1.627960218,0.005286513,0.084208757,0.090655594,0.084208757,0.090064501,-0.066184754,0.090655594,-0.066184754,0.094627256,0.001068784,-0.002554044,0.001651275,-0.001122439,-0.002081855,-0.001054719,-7.68E-05,-7.08211E+12,-0.00029778,-0.001312682,0.002927238,0.082611362,0.090386933,0.082611362,0.085374431,-0.070226597,0.090386933,-0.070226597,0.090110475,0.001066693,-0.003090717,0.001827726,-0.001458659,-0.002096885,-0.001071625,-7.72E-05,-7.23547E+12,-0.000303481,-0.001462481,-0.001048346,0.089323259,0.083139271,0.089323259,0.076396083,-0.077465545,0.083139271,-0.077465545,0.081244428,0.001109185,-0.008597021,0.002777688,-0.001550477,-0.002112812,-0.00115447,-0.000100965,-7.21507E+12,-0.000149111,-0.002483629,0.950943396,0.954716981,0.962264151,0.954716981,0.858490566,0.958490566,0.962264151,0.958490566,0.873584906,0.750943396,0.920754717,0.950943396,0.956603774,0.766037736,0.235849057,0.677358491,0.971698113,0.956603774,0.960377358,0.967924528,0.983018868,0.986792453,0.983018868,0.930188679,0.983018868,0.986792453,0.983018868,0.935849057,0.832075472,0.950943396,0.969811321,0.969811321,0.830188679,0.258490566,0.728301887,0.986792453,0.981132075,0.983018868,0.962264151,0.945283019,0.918867925,0.966037736,0.050725321,0.011209356,0.010904772,0.011209356,0.006665923,0.003737827,0.010904772,0.003737827,0.006718746,0.012616587,0.043988,0.012203957,0.013029693,0.012423558,0.043993159,0.015930485,0.012106522,0.01273394,0.00490348,0.050486289,0.011163832,0.010863723,0.011163832,0.006497131,0.003752497,0.010863723,0.003752497,0.006551179,0.012615081,0.044000809,0.012210721,0.013028357,0.012422191,0.043996258,0.015929584,0.012100043,0.012735842,0.004909347,0.050269969,0.011187853,0.010862062,0.011187853,0.006183309,0.003795661,0.010862062,0.003795661,0.006257368,0.012659909,0.044284727,0.012355891,0.013012979,0.012455569,0.044040258,0.015970368,0.012128097,0.012858594,0.005070264
65,500,1.570796327,0.1,1,1.04889562,0.180580724,-0.399929469,1.627903022,0.007454097,0.022790402,0.011718817,0.022790402,0.062623256,-0.022491674,0.011718817,-0.022491674,0.075724235,4.65E-05,0.0122337,-0.002532191,-0.00075104,-0.00223331,0.013497831,0.000184301,-3.12019E+12,-0.000387728,-0.000647327,0.005191133,0.020349906,0.010388829,0.020349906,0.058652889,-0.026915885,0.010388829,-0.026915885,0.071899386,4.53E-05,0.011255978,-0.002383218,-0.000975227,-0.002225224,0.013460147,0.000185986,-3.06499E+12,-0.00035568,-0.000743365,0.002141403,0.023455188,0.005511354,0.023455188,0.051031256,-0.035844518,0.005511354,-0.035844518,0.063801715,5.13E-05,0.001172647,-0.002252459,-0.00076618,-0.001968406,0.013425475,0.000190791,-1.28954E+12,7.62E-06,-0.001731461,0.955357143,0.982142857,0.951785714,0.982142857,0.891071429,0.9625,0.951785714,0.9625,0.864285714,0.644642857,0.955357143,0.942857143,0.960714286,0.676785714,0.205357143,0.55,0.944642857,0.948214286,0.957142857,0.980357143,0.989285714,0.983928571,0.989285714,0.957142857,0.983928571,0.983928571,0.983928571,0.914285714,0.708928571,0.978571429,0.966071429,0.982142857,0.742857143,0.221428571,0.607142857,0.978571429,0.980357143,0.978571429,0.95,0.960714286,0.955357143,0.951785714,0.048905982,0.009618455,0.010083482,0.009618455,0.005091563,0.002899387,0.010083482,0.002899387,0.005601228,0.011434753,0.037986804,0.012016164,0.011237873,0.010957161,0.038056165,0.015525701,0.011398289,0.011668423,0.003642048,0.048638363,0.009575206,0.010048182,0.009575206,0.004961916,0.002903576,0.010048182,0.002903576,0.005463083,0.01143438,0.037933016,0.012012152,0.011239798,0.010955815,0.038054769,0.015526366,0.011407746,0.011668703,0.003645976,0.049002945,0.009515605,0.010111354,0.009515605,0.00476176,0.002934935,0.010111354,0.002934935,0.005202414,0.011418331,0.037549424,0.011990115,0.011330008,0.010940267,0.038042293,0.015555104,0.011519456,0.011726527,0.003716799
17,1000,1.570796327,0.1,1,1.048872696,0.180490101,-0.40010412,1.627954547,0.002570823,-0.007380905,-0.051604128,-0.007380905,0.086145303,-0.07881194,-0.051604128,-0.07881194,0.088839887,0.001623678,0.00270603,0.000162134,0.004192291,0.003397481,0.002962195,-0.000667597,5.11515E+12,8.66E-05,-0.003322864,0.001206552,-0.010105783,-0.052629268,-0.010105783,0.083368759,-0.080338724,-0.052629268,-0.080338724,0.085741665,0.001625641,0.002429334,0.000122322,0.004094788,0.003399424,0.002964337,-0.000669101,5.35223E+12,9.24E-05,-0.003436962,-0.001148884,-0.01736104,-0.050469165,-0.01736104,0.077704722,-0.082216308,-0.050469165,-0.082216308,0.079470415,0.00161101,0.000746461,-2.77E-05,0.003978364,0.003437829,0.00295099,-0.000680045,5.78279E+12,0.000152863,-0.003813528,0.940277778,0.945833333,0.955555556,0.945833333,0.873611111,0.943055556,0.955555556,0.943055556,0.866666667,0.855555556,0.933333333,0.956944444,0.961111111,0.851388889,0.319444444,0.741666667,0.951388889,0.951388889,0.943055556,0.968055556,0.965277778,0.979166667,0.965277778,0.929166667,0.968055556,0.979166667,0.968055556,0.943055556,0.904166667,0.969444444,0.977777778,0.983333333,0.893055556,0.358333333,0.811111111,0.973611111,0.972222222,0.968055556,0.955555556,0.955555556,0.936111111,0.9375,0.037358163,0.009557952,0.009609401,0.009557952,0.006051344,0.003450698,0.009609401,0.003450698,0.006119737,0.010337707,0.028782158,0.010186964,0.010198572,0.010030358,0.028788398,0.013617313,0.01061013,0.010483814,0.005398774,0.037262553,0.00953867,0.009590954,0.00953867,0.005950499,0.003458806,0.009590954,0.003458806,0.006003642,0.010335905,0.028783991,0.010187267,0.0101931,0.010030198,0.028786295,0.013619816,0.010613726,0.010486359,0.005413008,0.037194903,0.009536416,0.009595164,0.009536416,0.005776987,0.003492329,0.009595164,0.003492329,0.005792476,0.010355093,0.028927534,0.010244871,0.010204584,0.010084245,0.02879202,0.01364385,0.010675337,0.010598348,0.005451934
33,1000,1.570796327,0.1,1,1.048771139,0.180494897,-0.399186872,1.627960218,0.000995249,0.030309423,0.025714075,0.030309423,0.045157001,-0.037190009,0.025714075,-0.037190009,0.051345239,0.000705317,-0.000314981,0.000794168,0.000927723,0.000682141,-0.000166835,-0.000148087,1.73168E+11,7.57E-05,-0.001245337,-0.000282199,0.027075723,0.023507263,0.027075723,0.043124065,-0.039090227,0.023507263,-0.039090227,0.049004423,0.000710156,-0.000274714,0.000695023,0.000854686,0.00068421,-0.000147306,-0.000151518,5.78281E+11,8.37E-05,-0.001291545,-0.002467685,0.017963276,0.019677115,0.017963276,0.039422823,-0.042035259,0.019677115,-0.042035259,0.044341963,0.000718287,-0.000724138,0.000355702,0.000594643,0.000659085,-0.00014806,-0.000164788,3.10732E+12,9.20E-05,-0.001391481,0.945238095,0.954761905,0.958333333,0.954761905,0.921428571,0.935714286,0.958333333,0.935714286,0.9,0.758333333,0.927380952,0.964285714,0.964285714,0.766666667,0.241666667,0.653571429,0.954761905,0.960714286,0.951190476,0.970238095,0.980952381,0.980952381,0.980952381,0.953571429,0.970238095,0.980952381,0.970238095,0.953571429,0.829761905,0.957142857,0.977380952,0.975,0.833333333,0.270238095,0.714285714,0.971428571,0.977380952,0.977380952,0.954761905,0.955952381,0.926190476,0.95,0.03560191,0.007812365,0.00767691,0.007812365,0.004080418,0.002664233,0.00767691,0.002664233,0.004307033,0.008964163,0.030135863,0.008394131,0.008790654,0.008544866,0.030136414,0.011737629,0.008986711,0.008930117,0.003550115,0.035532359,0.007798071,0.00766046,0.007798071,0.00402085,0.002670964,0.00766046,0.002670964,0.004233801,0.008965977,0.030133432,0.008395455,0.008790388,0.008545766,0.0301379,0.011738342,0.008985981,0.008926458,0.003552917,0.035650663,0.007818865,0.007652166,0.007818865,0.00392383,0.002698263,0.007652166,0.002698263,0.004096377,0.008984211,0.030116587,0.008467545,0.008899766,0.008551963,0.030153697,0.01176214,0.009032271,0.008936977,0.00356517
